data,avversita,giustificazione_intervento,stato_dss_dichiarato
2026-04-18,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione non è sufficiente per le infezioni previste nei prossimi giorni
2026-04-18,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,"La protezione non è sufficiente (o scenderà nei prossimi giorni), ma non sono previste infezioni"
2026-04-27,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-04-27,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-04,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-04,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-10,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-10,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-18,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-18,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-28,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-28,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-04,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-04,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-13,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-13,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-23,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione non è sufficiente per le infezioni previste nei prossimi giorni
2026-06-23,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione non è sufficiente per le infezioni previste nei prossimi giorni
2026-07-01,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione residua garantirà solo una copertura parziale per le infezioni previste nei prossimi giorni
2026-07-01,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-07-10,Oidio,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-07-10,Peronospora,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
