id,appezzamento_id,data,coltura,tipo_operazione,ha_trattati,fase_fenologica,bbch,avversita,prodotto_nome_commerciale,numero_registrazione,quantita_tot,dose_ha,dose_hl,acqua_hl_ha,giustificazione_intervento,indicazione_dss
2026-04-18-01,vidor-cal-nova,2026-04-18,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Oidio,Essen'ciel,17804,1.12,1.6,800.0,2.0,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione non è sufficiente per le infezioni previste nei prossimi giorni
2026-04-18-02,vidor-cal-nova,2026-04-18,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Peronospora,Envita SC,17422,0.35,0.5,250.0,2.0,Indicazione di rischio dei modelli epidemiologici del DSS,"La protezione non è sufficiente (o scenderà nei prossimi giorni), ma non sono previste infezioni"
2026-04-27-01,vidor-cal-nova,2026-04-27,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Peronospora,Century Pro,16657,1.05,1.5,536.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-04-27-02,vidor-cal-nova,2026-04-27,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Oidio,Essen'ciel,17804,1.12,1.6,571.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-04-27-03,vidor-cal-nova,2026-04-27,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Peronospora,Envita SC,17422,0.35,0.5,179.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-04-01,vidor-cal-nova,2026-05-04,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Peronospora,Delan Pro,16562,2.1,3.0,1071.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-04-02,vidor-cal-nova,2026-05-04,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Oidio,Revysion,18137,0.7,1.0,357.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-10-01,vidor-cal-nova,2026-05-10,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Peronospora,Envita,19119,0.49,0.7,250.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-10-02,vidor-cal-nova,2026-05-10,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Peronospora,Century SL,16161,0.7,1.0,357.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-10-03,vidor-cal-nova,2026-05-10,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Oidio,Sercadis,16945,0.1,0.15,54.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-10-04,vidor-cal-nova,2026-05-10,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Peronospora,Ridomil Gold Combi WG,17435,1.4,2.0,714.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-18-01,vidor-cal-nova,2026-05-18,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Oidio,Revysion,18137,0.7,1.0,357.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-18-02,vidor-cal-nova,2026-05-18,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Peronospora,Delan Pro,16562,2.1,3.0,1071.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-18-03,vidor-cal-nova,2026-05-18,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Emissione 5a foglia,105,Peronospora,Orondis,17461,0.14,0.2,71.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-28-01,vidor-cal-nova,2026-05-28,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Fioritura,65,Oidio,Sercadis,16945,0.1,0.15,54.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-05-28-02,vidor-cal-nova,2026-05-28,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Fioritura,65,Peronospora,Delan Pro,16562,2.1,3.0,1071.0,2.8,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-04-01,vidor-cal-nova,2026-06-04,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Oidio,Folpan 80 WDG,8601,1.05,1.5,273.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-04-02,vidor-cal-nova,2026-06-04,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Peronospora,Enervin system,17766,2.45,3.5,636.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-04-03,vidor-cal-nova,2026-06-04,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Oidio,Revysion,18137,0.7,1.0,182.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-13-01,vidor-cal-nova,2026-06-13,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Peronospora,Delan Pro,16562,2.1,3.0,545.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-13-02,vidor-cal-nova,2026-06-13,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Cicaline,Sivanto prime,16273,0.35,0.5,91.0,5.5,Valutazione personale attraverso il monitoraggio della coltura,
2026-06-13-03,vidor-cal-nova,2026-06-13,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Oidio,Vivando,13698,0.17,0.25,45.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-06-23-01,vidor-cal-nova,2026-06-23,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Oidio,Microthiol Disperss,1583,2.1,3.0,545.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione non è sufficiente per le infezioni previste nei prossimi giorni
2026-06-23-02,vidor-cal-nova,2026-06-23,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Peronospora,Enervin SC,15264,1.05,1.5,273.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione non è sufficiente per le infezioni previste nei prossimi giorni
2026-06-23-03,vidor-cal-nova,2026-06-23,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Cicaline,Trebon UP,8735,0.35,0.5,91.0,5.5,Valutazione personale attraverso il monitoraggio della coltura,
2026-06-23-04,vidor-cal-nova,2026-06-23,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Oidio,Folpan 80 WDG,8601,1.05,1.5,273.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione non è sufficiente per le infezioni previste nei prossimi giorni
2026-07-01-01,vidor-cal-nova,2026-07-01,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Peronospora,Envita SC,17422,0.7,1.0,182.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione è sufficiente e lo resterà anche nei prossimi giorni
2026-07-01-02,vidor-cal-nova,2026-07-01,Vite da vino,Trattamento di difesa / Fitoregolatori,0.7,Allegagione - inizio ingrossamento frutti,71,Oidio,Vivando,13698,0.17,0.25,45.0,5.5,Indicazione di rischio dei modelli epidemiologici del DSS,La protezione residua garantirà solo una copertura parziale per le infezioni previste nei prossimi giorni
