data_trattamento,avversita,prodotti,pioggia_1g_mm,pioggia_2g_mm,pioggia_3g_mm,pioggia_7g_mm
2026-04-18,Oidio|Peronospora,Envita SC|Essen'ciel,0.8,14.7,14.9,15.7
2026-04-27,Oidio|Peronospora,Century Pro|Envita SC|Essen'ciel,0.0,0.2,0.2,0.2
2026-05-04,Oidio|Peronospora,Delan Pro|Revysion,11.5,34.8,34.8,58.7
2026-05-10,Oidio|Peronospora,Century SL|Envita|Ridomil Gold Combi WG|Sercadis,22.3,28.6,28.6,49.4
2026-05-18,Oidio|Peronospora,Delan Pro|Orondis|Revysion,0.2,3.3,3.3,3.3
2026-05-28,Oidio|Peronospora,Delan Pro|Sercadis,0.0,0.0,13.1,51.6
2026-06-04,Oidio|Peronospora,Enervin system|Folpan 80 WDG|Revysion,9.2,9.2,9.2,29.9
2026-06-13,Cicaline|Oidio|Peronospora,Delan Pro|Sivanto prime|Vivando,0.0,0.0,0.0,0.0
2026-06-23,Cicaline|Oidio|Peronospora,Enervin SC|Folpan 80 WDG|Microthiol Disperss|Trebon UP,0.0,0.0,0.0,0.0
2026-07-01,Oidio|Peronospora,Envita SC|Vivando,0.0,0.0,0.0,0.2
2026-07-10,Oidio|Peronospora,Camplan SC|Cosavet DF|Envita SC,0.2,0.2,0.2,11.3
2026-07-20,Cicaline|Oidio|Peronospora,Decis Evo|Kauritil Tri Hi Bio|Kumulus tecno,0.0,0.2,2.2,3.0
2026-08-01,Oidio|Peronospora,Kauritil Tri Hi Bio|Kumulus tecno,0.0,0.0,0.0,1.2
